id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,is_ascii
9138860,2 min to dinosours park,44610525,nou,Khlong Toei,13.73216,100.56451,Private room,1400,1,10,2020-02-10,0.13,3,365,0,True
9142346,4tropical villa/center/dbl: super-close mrtlumpini,43924136,bo-ther & paa maa,Sathon,13.72337,100.54537,Private room,1350,1,304,2022-11-27,3.5,5,356,7,True
9143764,nice & clean apartment (612),30333421,orawan,Huai Khwang,13.75434,100.57525,Entire home/apt,1800,7,22,2022-12-15,0.26,2,323,5,True
9145078,nice & clean apartment (610),30333421,orawan,Huai Khwang,13.75428,100.57515,Entire home/apt,1800,7,15,2022-11-30,0.17,2,325,2,True
10125869,near bts condominium,49227061,papaporn,Bang Na,13.68085,100.61161,Private room,1800,1,0,,,1,362,0,True
9625890,"cozy studio room, wifi / pool / gym / 24hrs food",49791352,kukku,Bang Kapi,13.75141,100.60804,Entire home/apt,549,5,66,2020-03-22,0.8,1,68,0,True
10128718,gerati condominium,51382676,gerati,Huai Khwang,13.77308,100.57508,Private room,800,1,1,2017-02-06,0.01,1,365,0,True
9637302,cozy & great location 350m.from mrt,4448099,aloha,Chatu Chak,13.81368,100.56512,Entire home/apt,10000,2,51,2020-01-16,0.59,1,271,0,True
9637430,ivy ratchada condominium was saled,49839563,xin gui,Huai Khwang,13.79195,100.57539,Private room,15000,1,0,,,1,365,0,True
9638279,cozy room @ heart of bangkok,28665806,jittavie,Vadhana,13.73757,100.57513,Shared room,1500,1,0,,,1,358,0,True
9647994,"11. big suite 1-min walk bts, jj market-siam, wifi",47324488,tony,Phaya Thai,13.79481,100.54999,Entire home/apt,1422,1,225,2022-12-13,2.61,34,326,35,True
9156356,metro park sathorn - resort styles,20953422,nipat,Phasi Charoen,13.70952,100.45038,Entire home/apt,800,90,0,,,1,365,0,True
9162590,new modern private apartment,34046383,neng,Khlong San,13.72261,100.49774,Private room,2000,365,0,,,1,362,0,True
10133553,"5 star host, 2b2b, free pick up, bts, icon siam #1",250841,witty,Khlong San,13.71972,100.4986,Private room,2371,1,104,2022-12-05,1.24,2,167,4,True
10144418,stunnedriverviewsuite+ netflix+washing machine,2940438,kinifrog,Rat Burana,13.68802,100.49197,Entire home/apt,900,28,83,2020-03-16,1.01,19,349,0,True
10145423,new private room near bts/mrt asoke,52068281,krissna,Vadhana,13.73574,100.56465,Entire home/apt,1043,22,30,2022-06-14,0.35,1,242,2,True
9657035,"villa sathorn, thonburi",49910841,dev,Khlong San,13.72029,100.50199,Entire home/apt,1100,31,25,2019-02-17,0.29,1,365,0,True
9662807,stylish room near bts,37580317,tib,Phra Khanong,13.69228,100.6139,Entire home/apt,786,1,69,2020-02-22,0.81,5,160,0,True
9668822,relax clean safety traffic convenie,26575230,k.,Bang Khen,13.8907,100.60742,Private room,450,1,9,2022-12-19,0.11,11,365,1,True
9669042,matchbox bangkok hostel mixed dorm1,31446183,matchbox bangkok hostel,Vadhana,13.7333,100.56811,Shared room,390,1,7,2017-09-16,0.08,8,365,0,True
10145690,neat little apartment in great area,5792836,rogier,Khlong Toei,13.72635,100.56033,Entire home/apt,795,3,108,2022-12-16,1.27,1,60,22,True
10146989,bts phayathai room 6 pp en-suite,47060002,pantipa,Ratchathewi,13.75445,100.53226,Private room,2314,1,23,2022-10-10,0.3,6,350,1,True
10151931,"next to mrt ""ladprao"" , clean room",52101669,patty,Chatu Chak,13.80524,100.57379,Private room,2000,1,1,2018-12-20,0.02,1,365,0,True
9176480,"1br sukhumvit thonglor,smithivej hospital,hive",26971191,narumon,Vadhana,13.73133,100.57409,Entire home/apt,1500,1,72,2022-12-14,0.89,1,321,17,True
9176702,loft style studio with river view,28483676,nath,Khlong San,13.71984,100.51019,Entire home/apt,1300,30,20,2022-11-15,0.23,8,288,3,True
10158510,room 3 - 2brs new relaxing room for 4ppl ~ bts ari,52130340,pim,Phaya Thai,13.77551,100.54438,Entire home/apt,2100,1,162,2022-12-16,1.92,11,136,2,True
9670783,clean and accessible.,49974250,the mix bangkok - silom,Bang Rak,13.72339,100.51994,Private room,1190,1,0,,,1,365,0,True
10166801,superior room without breakfast @casa nithra,42085763,casa nithra,Phra Nakhon,13.76582,100.50095,Private room,3033,1,2,2017-12-27,0.03,10,359,0,True
9670821,the room rama4(long term stay only),49023055,krittipat,Parthum Wan,13.73759,100.52239,Entire home/apt,1350,90,2,2016-05-03,0.02,1,365,0,True
10171057,วิลล่า สวย ๆ,10260219,nami,Huai Khwang,13.79297,100.5836,Private room,2800,1,0,,,1,365,0,False
10178745,central new renovate(d) soi11 nana bts daily clean,25799515,aman & marisa,Vadhana,13.74426,100.55696,Entire home/apt,6500,1,16,2019-04-16,0.19,4,319,0,True
9203881,spacious 4 bedrooms house in bangna,47740378,manop,Bang Na,13.67242,100.63161,Entire home/apt,4036,365,0,,,1,365,0,True
10179988,บ้านเดี่ยว 2 ชั้น มีโรงจอดรถ 4 ห้องนอน 4 ห้องน้ำ,37135412,ธนกฤต,Taling Chan,13.78558,100.43995,Entire home/apt,2500,1,0,,,1,365,0,False
10180198,the tree interchange (river view),52278760,kaesinee,Bang Sue,13.80588,100.52604,Private room,1385,365,0,,,4,365,0,True
9204676,"110meters bts wutthakat hi-speed net,pool&gym 7-11",22403441,giftgap,Chom Thong,13.71407,100.4665,Entire home/apt,750,3,191,2022-12-21,2.25,1,115,19,True
9675428,"next to bts thonglor, spacious 60sqm, wifi 50mbps",10901596,phatcharadhan (you),Khlong Toei,13.72394,100.57782,Entire home/apt,2043,20,3,2019-06-16,0.04,2,365,0,True
10182742,air raid shelter 3,40259616,kobkul,Phra Nakhon,13.75302,100.50452,Private room,900,1,163,2022-12-11,2.13,3,281,5,True
10185420,bangkok @ sukhumvit 101/1 near bts,50733363,theerachai,Phra Khanong,13.68704,100.63372,Entire home/apt,950,1,82,2022-11-10,0.96,1,355,1,True
9676815,located at downtown & quiet,49997717,arunlak,Bueng Kum,13.77788,100.66093,Entire home/apt,2500,2,0,,,1,88,0,True
9210468,my place,47901489,chookiat,Vadhana,13.71424,100.59381,Private room,1385,30,1,2016-02-09,0.01,1,89,0,True
